LVA-Nr.,LVA-Titel,Typ,Art,LeiterIn,Sem.,ECTS,SSt.,Nächster Termin,max_students,registered_students
340.100,Algorithmen und Datenstrukturen 1,VO,Präsenz,Alois Ferscha,2024S,"3,00","2,0",Di. 07.05.24 10:15 - 11:45,200,194
531.163,Analysis II,UE,Präsenz,Jan-Michael Holzinger,2024S,"2,00","1,0",Mi. 15.05.24 13:45 - 15:15,25,12
531.160,Analysis II,VO,Präsenz,Friedrich Pillichshammer,2024S,"3,00","3,0",Mo. 29.04.24 10:15 - 11:45,100,98
239.141,Behavioral Economics,KS,Präsenz,Matthias Fahn,2024S,"3,00","2,0",Di. 30.04.24 13:45 - 15:15,200,147
376.027,Bionics - biomimetic Materials and Polymers,VL,Präsenz,Oliver Brüggemann,2024S,"1,50","1,0",Mo. 29.04.24 13:45 - 16:15,50,50
257.350,Business Engineering & Management,UE,Präsenz,Harald Lerchner,2024S,"3,00","2,0",Do. 02.05.24 15:30 - 17:00,30,14
257.320,Business Engineering & Management,VL,Präsenz,Harald Lerchner,2024S,"3,00","2,0",Do. 02.05.24 13:45 - 15:15,40,33
364.000,Computer Graphics,VO,Präsenz,Oliver Bimber,2024S,"3,00","2,0",Di. 30.04.24 13:45 - 15:15,200,186
258.300,Data & Knowledge Engineering,VL,Präsenz,Michael Schrefl,2024S,"3,00","2,0",Mi. 08.05.24 12:00 - 13:30,200,134
258.410,Data Mining,VL,Präsenz,Christoph Georg Schütz,2024S,"3,00","2,0",Mo. 29.04.24 12:00 - 13:30,150,170
371.000,Einführung in den Maschinenbau,VL,Präsenz,Klaus Zeman,2024S,"3,00","2,0",Do. 02.05.24 08:30 - 10:00,150,148
239.124,Einführung in die Makroökonomie,IK,Präsenz,Maximilian Böck,2024S,"3,00","2,0",Do. 06.06.24 15:30 - 18:45,40,14
239.125,Einführung in die Makroökonomie,IK,Präsenz,Benjamin Karner,2024S,"3,00","2,0",Mo. 29.04.24 13:45 - 15:15,40,45
239.126,Einführung in die Makroökonomie,IK,Präsenz,Benjamin Karner,2024S,"3,00","2,0",Mo. 29.04.24 18:15 - 19:45,40,36
239.300,Einführung in die Makroökonomie,IK,Präsenz,Johannes Lukas,2024S,"3,00","2,0",Fr. 03.05.24 12:00 - 15:15,40,38
259.002,Einführung in die Softwareentwicklung mit Python,VL,Präsenz,Iris Groher,2024S,"3,00","2,0",Di. 30.04.24 12:00 - 13:30,200,222
243.115,Einführung in die Wirtschaftswissenschaften für Juristinnen und Juristen,KV,Präsenz,René Andeßner,2024S,"6,00","6,0",Mo. 29.04.24 08:30 - 11:45,200,133
325.004,Einführung in die Zahlentheorie,VO,Präsenz,Friedrich Pillichshammer,2024S,"3,00","2,0",Mi. 08.05.24 10:15 - 11:45,30,20
340.400,Embedded and Pervasive Systems,VO,Präsenz,Alois Ferscha,2024S,"3,00","2,0",Di. 30.04.24 15:30 - 17:00,200,140
531.240,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00","3,0",Di. 30.04.24 11:00 - 13:35,25,30
531.241,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00","3,0",Do. 02.05.24 13:45 - 14:30,25,10
531.242,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00","3,0",Do. 02.05.24 13:45 - 14:30,25,14
243.001,Grundkurs Public und Nonprofit Management,KS,Präsenz,Sandra Stötzer,2024S,"6,00","4,0",Mi. 08.05.24 15:30 - 18:45,100,72
360.001,Grundzüge der Thermofluiddynamik,VL,Präsenz,Philipp Gittler,2024S,"4,50","3,0",Mo. 29.04.24 12:00 - 13:30,200,122
345.130,Instrumentelle Analytik für Molekulare Biowissenschaften,VL,Präsenz,Christian Klampfl,2024S,"3,00","2,0",Mo. 29.04.24 10:15 - 11:45,150,115
