LVA-Nr.,LVA-Titel,Typ,Art,LeiterIn,Sem.,ECTS,SSt.,Nächster Termin,max_students,registered_students
368.190,Algebra für Informatik,VL,Präsenz,Christoph Koutschan,2024S,"3,00","2,0",Mo. 29.04.24 08:30 - 10:00,250,242
379.012,Angewandte Wärmetechnik,KV,Präsenz,Gerald Roman Berger-Weber,2024S,"2,00","2,0",Mi. 08.05.24 15:30 - 17:00,45,8
239.141,Behavioral Economics,KS,Präsenz,Matthias Fahn,2024S,"3,00","2,0",Di. 30.04.24 13:45 - 15:15,200,147
231.117,Datenanalyse 1 (Grundlagen),VU,Präsenz,Johann Bacher,2024S,"3,00","2,0",Mi. 08.05.24 08:30 - 10:00,130,90
239.706,Einführung in die Mikroökonomie,IK,Präsenz,Stefan Fink,2024S,"3,00","2,0",Fr. 03.05.24 08:30 - 10:00,40,34
362.064,Elektrische Maschinen,UE,Präsenz,Thomas Krainer,2024S,"1,50","1,0",Mo. 29.04.24 10:15 - 11:45,35,20
362.065,Elektrische Maschinen,UE,Präsenz,Stefan Mallinger,2024S,"1,50","1,0",Mo. 29.04.24 10:15 - 11:45,35,33
362.066,Elektrische Maschinen,UE,Präsenz,Christoph Dobler,2024S,"1,50","1,0",Mo. 29.04.24 10:15 - 11:45,35,21
362.068,Elektrische Maschinen und Antriebselektronik,UE,Präsenz,Stefan Mallinger,2024S,"1,50","1,0",Mo. 29.04.24 10:15 - 11:45,35,27
362.073,Elektrische Maschinen und Antriebselektronik,UE,Präsenz,Gabriel Weissitsch,2024S,"1,50","1,0",Mo. 29.04.24 10:15 - 11:45,35,11
335.003,Elektrotechnik,VL,Präsenz,Andreas Springer,2024S,"3,00","2,0",Mo. 29.04.24 10:15 - 11:45,160,94
252.031,Ethik,IK,Präsenz,Johannes Thaller,2024S,"3,00","2,0",Mo. 06.05.24 13:45 - 15:15,40,38
383.028,Funktionelle Anatomie,VL,Präsenz,Christoph Wolf,2024S,"3,00","2,0",Fr. 07.06.24 12:00 - 13:30,150,155
531.240,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00","3,0",Di. 30.04.24 11:00 - 13:35,25,30
531.241,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00","3,0",Do. 02.05.24 13:45 - 14:30,25,10
531.242,Geometrie,UV,Präsenz,Bert Jüttler,2024S,"3,00","3,0",Do. 02.05.24 13:45 - 14:30,25,14
229.054,Grundbegriffe und Grundzüge der Politik,VU,Präsenz,Harald Stöger,2024S,"6,00","3,0",Di. 30.04.24 15:30 - 18:00,200,140
250.900,Grundlagen Wissenschaftliches Arbeiten,KS,Präsenz,Markus Mottinger,2024S,"3,00","2,0",Mi. 15.05.24 13:45 - 17:00,200,83
140.004,Grundrechte II,VL,Präsenz,Christoph Herbst,2024S,"0,50","1,0",Mo. 29.04.24 15:30 - 18:00,150,119
360.001,Grundzüge der Thermofluiddynamik,VL,Präsenz,Philipp Gittler,2024S,"4,50","3,0",Mo. 29.04.24 12:00 - 13:30,200,122
231.115,Grundzüge der empirischen Sozialforschung,VU,Präsenz,Dimitri Prandner,2024S,"3,00","2,0",Mo. 29.04.24 12:00 - 13:30,200,72
239.010,Integrative und problemorientierte Fragestellungen der Geographie und Ökonomie I,UV,Präsenz,Dieter Pennerstorfer,2024S,"3,00","2,0",Mi. 15.05.24 07:45 - 10:00,25,0
334.005,Konstruktionswerkstoffe,VL,Präsenz,Bernhard Sonderegger,2024S,"3,00","2,0",Mi. 08.05.24 08:30 - 10:00,110,52
100.100,Law in Practice,KS,Präsenz,Wilhelm Bergthaler,2024S,"3,00","0,5",Letzter Termin vorbei,100,69
362.000,Leistungselektronik 1,VO,Präsenz,Gerd Bramerdorfer,2024S,"3,00","2,0",Do. 02.05.24 13:45 - 15:15,40,28
531.120,Lineare Algebra I,VO,Präsenz,Erhard Aichinger,2024S,"4,00","4,0",Mo. 29.04.24 10:15 - 11:45,125,102
