LVA-Nummer,Wochentag,Datum,Startzeit,Endzeit,Ort,Anmerkung
368.190,Mo.,22.04.24,08:30,10:00,HS 19,
368.190,Mo.,06.05.24,08:30,10:00,HS 19,
368.190,Mo.,10.06.24,08:30,10:00,HS 19,
368.190,Mo.,24.06.24,08:30,10:00,HS 19,
379.012,Mo.,01.07.24,13:45,15:15,HS 19,Klausur - bitte im Kusss anmelden
379.012,Mo.,30.09.24,13:45,15:15,HS 19,Klausur - bitte im Kusss anmelden
239.141,Mi.,13.03.24,08:30,10:00,HS 19,
239.141,Mi.,20.03.24,08:30,10:00,HS 19,
231.117,Mi.,15.05.24,08:30,10:00,HS 19,
239.706,Fr.,28.06.24,08:30,10:00,HS 19,Klausur
362.064,Fr.,26.04.24,10:15,11:45,HS 19,Tutorium 1. TK
362.064,Fr.,24.05.24,08:30,10:00,HS 19,Synchronmaschine 1 (Krainer)
362.064,Fr.,14.06.24,10:15,11:45,HS 19,Tutorium 2. TK
362.065,Fr.,26.04.24,10:15,11:45,HS 19,Tutorium 1. TK
362.065,Fr.,24.05.24,10:15,11:45,HS 19,Synchronmaschine 1 (Krainer)
362.065,Fr.,14.06.24,10:15,11:45,HS 19,Tutorium 2. TK
362.066,Fr.,26.04.24,10:15,11:45,HS 19,Tutorium 1. TK
362.066,Fr.,24.05.24,12:45,14:30,HS 19,Synchronmaschine 1 (Krainer)
362.066,Fr.,14.06.24,10:15,11:45,HS 19,Tutorium 2. TK
362.068,Fr.,26.04.24,10:15,11:45,HS 19,Tutorium 1. TK
362.068,Fr.,14.06.24,10:15,11:45,HS 19,Tutorium 2. TK
362.073,Fr.,26.04.24,10:15,11:45,HS 19,Tutorium 1. TK
362.073,Fr.,14.06.24,10:15,11:45,HS 19,Tutorium 2. TK
335.003,Mi.,03.07.24,13:00,16:00,HS 19,Klausur
252.031,Mo.,22.04.24,15:30,17:00,HS 19,Reflexion in Kleingruppen
383.028,Fr.,08.03.24,12:00,13:30,HS 19,
383.028,Fr.,15.03.24,12:00,13:30,HS 19,
383.028,Fr.,22.03.24,12:00,13:30,HS 19,
383.028,Fr.,12.04.24,12:00,13:30,HS 19,
383.028,Fr.,07.06.24,12:00,13:30,HS 19,
531.240,Do.,07.03.24,13:45,14:30,HS 19,
531.240,Do.,07.03.24,14:30,15:15,HS 19,
531.240,Do.,14.03.24,13:45,14:30,HS 19,
531.240,Do.,14.03.24,14:30,15:15,HS 19,
531.240,Do.,21.03.24,13:45,14:30,HS 19,
531.240,Do.,21.03.24,14:30,15:15,HS 19,
531.240,Do.,11.04.24,13:45,14:30,HS 19,
531.240,Do.,11.04.24,14:30,15:15,HS 19,
531.240,Do.,18.04.24,13:45,14:30,HS 19,
531.240,Do.,18.04.24,14:30,15:15,HS 19,
531.240,Do.,25.04.24,13:45,14:30,HS 19,
531.240,Do.,25.04.24,14:30,15:15,HS 19,
531.240,Do.,02.05.24,13:45,14:30,HS 19,
531.240,Do.,02.05.24,14:30,15:15,HS 19,"1. Test, Nachname A - R"
531.240,Do.,16.05.24,13:45,14:30,HS 19,
531.240,Do.,16.05.24,14:30,15:15,HS 19,
531.240,Do.,23.05.24,13:45,14:30,HS 19,
531.240,Do.,23.05.24,14:30,15:15,HS 19,
531.240,Do.,06.06.24,13:45,14:30,HS 19,
531.240,Do.,06.06.24,14:30,15:15,HS 19,
531.240,Do.,13.06.24,13:45,14:30,HS 19,
531.240,Do.,13.06.24,14:30,15:15,HS 19,
531.240,Do.,20.06.24,13:45,14:30,HS 19,
531.240,Do.,20.06.24,14:30,15:15,HS 19,
531.240,Do.,27.06.24,13:45,14:30,HS 19,2. Test
531.240,Do.,27.06.24,14:30,15:15,HS 19,
531.240,Do.,11.07.24,13:45,14:30,HS 19,2. Nachtest
531.241,Do.,07.03.24,13:45,14:30,HS 19,
531.241,Do.,07.03.24,14:30,15:15,HS 19,
531.241,Do.,14.03.24,13:45,14:30,HS 19,
531.241,Do.,21.03.24,13:45,14:30,HS 19,
531.241,Do.,11.04.24,13:45,14:30,HS 19,
531.241,Do.,18.04.24,13:45,14:30,HS 19,
531.241,Do.,25.04.24,13:45,14:30,HS 19,
531.241,Do.,02.05.24,13:45,14:30,HS 19,
531.241,Do.,16.05.24,13:45,14:30,HS 19,
531.241,Do.,23.05.24,13:45,14:30,HS 19,
531.241,Do.,06.06.24,13:45,14:30,HS 19,
531.241,Do.,13.06.24,13:45,14:30,HS 19,
